common.name,species.name,1910,1912,1913,1914,1915,1916,1920,1922,1923,1924,1925,1928,1930,1931,1937,1938,1939,1940,1942,1943,1944,1945,1946,1947,1948,1949,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
American Crow,Corvus brachyrhynchos,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,7,5,23,98,28,16,34,27,38,62,76,91,460,230,160,220,490,180,110,240,310,415,382,419,254,257,465,252,304,420,383,393,371,418,346
crow sp.,Corvus sp. (crow sp.),0,0,6,5,5,600,0,10,0,0,0,0,0,0,421,3,22,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Jay,Cyanocitta cristata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,1,3,10,15,17,55,43,75,130,96,86,180,150,180,280,380,400,440,519,475,354,237,439,311,412,680,500,533,281,122,317
Tundra Swan,Cygnus columbianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,4,0,0
Mute Swan,Cygnus olor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,3,3,3,3,1,1,1,1,1,1,1,1,1,1
Pileated Woodpecker,Dryocopus pileatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,3,3,2,3,2,7,11,10,14,13,13,4,9,7,5,10,4,10,3,3,3
Gray Catbird,Dumetella carolinensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,3,0,1,0,0,4,3,2,0,0,0,0,2
sparrow sp.,Emberizidae sp. (sparrow sp.),4,0,0,25,22,40,10,73,25,0,0,100,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,6,0
Horned Lark,Eremophila alpestris,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,11,9,26,7,9,1,6,97,0,0,16,0,9,13,24,18,68,48,48,65,49,1,7,6,10,5,2,0,0,0,0,0,0
Rusty Blackbird,Euphagus carolinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,1,0,0
